,Unnamed: 0,Unnamed: 0.1,Filename,Filepath,Reproductive Status,Flowering Status,Fruiting Status,Budding Status,Scored,Scorable
0,0,0,CONN00118770.jpg,/content/Herbarium_Anthony/outliers/CONN00118770.jpg,True,,,,True,True
1,1,1,NHA-659466.jpg,/content/Herbarium_Anthony/outliers/NHA-659466.jpg,,,,,True,False
2,2,2,barcode-00525812.jpg,/content/Herbarium_Anthony/outliers/barcode-00525812.jpg,True,True,,True,True,True
3,3,3,KIRI-04831.jpg,/content/Herbarium_Anthony/outliers/KIRI-04831.jpg,True,True,False,True,True,True
4,4,4,barcode-00617175.jpg,/content/Herbarium_Anthony/outliers/barcode-00617175.jpg,True,True,,True,True,True
5,5,5,NHA-551578.jpg,/content/Herbarium_Anthony/outliers/NHA-551578.jpg,True,True,False,False,True,True
6,6,6,barcode-00687644.jpg,/content/Herbarium_Anthony/outliers/barcode-00687644.jpg,True,True,True,,True,True
7,7,7,CONN00174053.jpg,/content/Herbarium_Anthony/outliers/CONN00174053.jpg,,,,,True,False
8,8,8,1910130.jpg,/content/Herbarium_Anthony/outliers/1910130.jpg,True,,,,True,True
9,9,9,barcode-01040685.jpg,/content/Herbarium_Anthony/outliers/barcode-01040685.jpg,,,,,True,False
10,10,10,barcode-00743505.jpg,/content/Herbarium_Anthony/outliers/barcode-00743505.jpg,,,,,True,False
11,11,11,CONN00063816.jpg,/content/Herbarium_Anthony/outliers/CONN00063816.jpg,False,False,False,False,True,True
12,12,12,barcode-01067622.jpg,/content/Herbarium_Anthony/outliers/barcode-01067622.jpg,True,True,,True,True,True
13,13,13,KESC11178.jpg,/content/Herbarium_Anthony/outliers/KESC11178.jpg,True,,,,True,True
14,14,14,PBRU00031275.jpg,/content/Herbarium_Anthony/outliers/PBRU00031275.jpg,True,,,,True,True
15,15,15,CCSU-02291.jpg,/content/Herbarium_Anthony/outliers/CCSU-02291.jpg,True,,,,True,True
16,16,16,barcode-01034278.jpg,/content/Herbarium_Anthony/outliers/barcode-01034278.jpg,True,,,,True,True
17,17,17,CONN00069952.jpg,/content/Herbarium_Anthony/outliers/CONN00069952.jpg,True,True,,,True,True
18,18,18,MAINE00010567.jpg,/content/Herbarium_Anthony/outliers/MAINE00010567.jpg,True,,,,True,True
19,19,19,barcode-00566966.jpg,/content/Herbarium_Anthony/outliers/barcode-00566966.jpg,True,,,,True,True
20,20,20,YU.035570.jpg,/content/Herbarium_Anthony/outliers/YU.035570.jpg,True,,,,True,True
21,21,21,barcode-00677787.jpg,/content/Herbarium_Anthony/outliers/barcode-00677787.jpg,,,,,True,False
22,22,22,barcode-00641622.jpg,/content/Herbarium_Anthony/outliers/barcode-00641622.jpg,True,False,True,False,True,True
23,23,23,barcode-00687645.jpg,/content/Herbarium_Anthony/outliers/barcode-00687645.jpg,False,False,False,False,True,True
24,24,24,CONN00151803.jpg,/content/Herbarium_Anthony/outliers/CONN00151803.jpg,True,,,,True,True
25,25,25,CONN00109706.jpg,/content/Herbarium_Anthony/outliers/CONN00109706.jpg,True,True,False,True,True,True
26,26,26,barcode-00724583.jpg,/content/Herbarium_Anthony/outliers/barcode-00724583.jpg,True,False,True,False,True,True
27,27,27,CONN00176149.jpg,/content/Herbarium_Anthony/outliers/CONN00176149.jpg,,,,,True,False
28,28,28,barcode-00504696.jpg,/content/Herbarium_Anthony/outliers/barcode-00504696.jpg,True,,,,True,True
