,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Filename,Fruiting Status
0,0,0,0,GH01032723.jpg,True
1,1,1,1,NHA-543261.jpg,True
2,2,2,2,NEBC00736474.jpg,True
3,3,3,3,NHA-597961.jpg,True
4,4,4,4,aa866e62f1cfd0f5234a18914c207dcd4eeb038210a10a2fae7f14bf43bc7821.jpg,True
5,5,5,5,NHA-548880.jpg,True
6,6,6,6,NEBC00682375.jpg,True
7,7,7,7,NEBC00602252.jpg,True
8,8,8,8,HF002105.jpg,True
9,9,9,9,NEBC00731202.jpg,True
10,10,10,10,00315293.jpg,True
11,11,11,11,NEBC00758275.jpg,True
12,12,12,12,00338093.jpg,True
13,13,13,13,00340183.jpg,True
14,14,14,14,NEBC00661653.jpg,True
15,15,15,15,00372925.jpg,True
16,16,16,16,YU056310-large.jpg,True
17,17,17,17,NEBC00698894.jpg,True
18,18,18,18,UVMVT092945.jpg,True
19,19,19,19,UVMVT097781.jpg,True
20,20,20,20,NEBC01023433.jpg,True
21,21,21,21,00397087.jpg,True
22,22,22,22,A00653769.jpg,True
23,23,23,23,YU.074027.jpg,True
24,24,24,24,WSCH005799.jpg,True
25,25,25,25,1ab09e4afa5312834adb851b8c48cc7fbef62f721db8c147bf6a78e1b5653b05.jpg,True
26,26,26,26,NHA-643133.jpg,True
27,27,27,27,NEBC00774385.jpg,True
28,28,28,28,A01074171.jpg,True
29,29,29,29,NEBC00773202.jpg,True
30,30,30,30,UVMVT089191.jpg,True
31,31,31,31,NEBC00666655.jpg,True
32,32,32,32,02556856.jpg,True
33,33,33,33,UVMVT126804.jpg,True
34,34,34,34,NEBC01072955.jpg,True
35,35,35,35,NEBC00583942.jpg,True
36,36,36,36,NHA-705857.jpg,True
37,37,37,37,00368796.jpg,True
38,38,38,38,KESC07925.jpg,True
39,39,39,39,WSCH008036.jpg,True
40,40,40,40,HF000028.jpg,True
41,41,41,41,NEBC00713073.jpg,True
42,42,42,42,NHA-705835.jpg,True
43,43,43,43,UVMVT063816.jpg,True
44,44,44,44,GH01023437.jpg,True
45,45,45,45,UVMVT088044.jpg,True
